citation_id,citation,context,source,extracted_url,fabrication_type,label
STAT_REAL_29,"Section 9(g), Nari O Shishu Nirjatan Daman Act, 2000 (As amended)",Which specific clause under the Act prescribes the punishment for a person who commits rape resulting in grievous hurt?,Statute,http://bdlaws.minlaw.gov.bd/act-429.html,N/A,REAL
STAT_REAL_30,"Section 9A, Nari O Shishu Nirjatan Daman Act, 2000 (As amended 2026)",What section was specifically added or amended to address and penalize sexual acts committed under the false pretext of marriage?,Statute,http://bdlaws.minlaw.gov.bd/act-details.php?id=276,N/A,REAL
STAT_REAL_31,"Section 11, Nari O Shishu Nirjatan Daman Act, 2000",Which section of the Act deals with the punishment for causing death or grievous hurt for dowry?,Statute,http://bdlaws.minlaw.gov.bd/act-1-291.html,N/A,REAL
STAT_REAL_32,"Section 17(3), Nari O Shishu Nirjatan Daman Act, 2000",What sub-section empowers the Tribunal to order compensation against a person who files a false complaint or case under the Act?,Statute,http://bdlaws.minlaw.gov.bd/act-432.html,N/A,REAL
STAT_REAL_33,"Section 18, Nari O Shishu Nirjatan Daman Act, 2000",Which section stipulates that investigations for offences under this Act should ideally be completed within a 30-day timeframe?,Statute,http://bdlaws.minlaw.gov.bd/act-219.html,N/A,REAL
STAT_REAL_34,"Section 26, Nari O Shishu Nirjatan Daman Act, 2000",What section mandates the timeframe and procedural guidelines for concluding trials by the Tribunal?,Statute,https://bdlaws.minlaw.gov.bd/act-details-8-2000.html,N/A,REAL
STAT_REAL_35,"Section 31, Nari O Shishu Nirjatan Daman Act, 2000",Which section empowers the Tribunal to place a woman or child in safe custody (Nirapotta Hefazot) during the pendency of proceedings?,Statute,http://bdlaws.minlaw.gov.bd/act-478.html,N/A,REAL
STAT_REAL_36,"Section 32, Nari O Shishu Nirjatan Daman Act, 2000",What section mandates the medical examination of victims in government hospitals equipped with modern facilities?,Statute,http://bdlaws.minlaw.gov.bd/act-8-2000.html,N/A,REAL
STAT_REAL_37,"Section 32Ka, Nari O Shishu Nirjatan Daman Act, 2000 (As amended 2026)","Under the newly added provisions, which section specifically requires mandatory DNA testing (Deoxyribonucleic Acid test) for accused and victims in rape cases?",Statute,http://bdlaws.minlaw.gov.bd/act-335.html,N/A,REAL
PREC_REAL_1,"*Anwar Hossain Chowdhury v. Bangladesh*, 41 DLR (AD) 165 (1989)","In striking down the Constitution (Eighth Amendment) Act 1988, the Appellate Division held that the amendment's creation of permanent High Court benches outside Dhaka violated the basic structure of the Constitution.",Precedent,https://www.researchgate.net/publication/336676754,N/A,REAL
PREC_REAL_2,"*Secretary, Ministry of Finance v. Masdar Hossain*, 52 DLR (AD) 82 (1999)",The Appellate Division's 1999 ruling directed the government to implement a twelve-point guideline separating the judicial service from executive control within a fixed timeframe.,Precedent,"https://en.wikipedia.org/wiki/Secretary,_Ministry_of_Finance_v._Masdar_Hossain",N/A,REAL
PREC_REAL_3,"*BLAST and others v. Bangladesh and others*, 55 DLR 363 (2003)","The High Court Division laid down fifteen guidelines restricting police powers of arrest under Section 54 and remand under Section 167 of the Code of Criminal Procedure, following the custodial death of a young man named Rubel.",Precedent,https://www.studocu.com/row/document/east-west-university/criminal-law/blast-vs-bangladesh-summary/95475332,N/A,REAL
PREC_REAL_4,"*Md. Hefzur Rahman v. Shamsun Nahar Begum and another*, 51 DLR (AD) 172 (1999)","Reversing the High Court Division, the Appellate Division held that the Quranic term 'mataa' does not equate to indefinite post-divorce maintenance and that the High Court had exceeded its jurisdiction by ruling on an issue outside the pleadings.",Precedent,https://thecasesummary.com/hefzur-rahman-v-shamsun-nahar-en/,N/A,REAL
PREC_REAL_5,"*Dr. Mohiuddin Farooque v. Bangladesh*, 49 DLR (AD) 1 (1997)","The Appellate Division held that Dr. Mohiuddin Farooque, acting on behalf of an environmental lawyers' association, had locus standi under Article 102 to challenge the Flood Action Plan-20 project because the matter concerned a cause of public, not merely personal, interest.",Precedent,https://elaw.org/resource/farooque-vs-government-of-bangladesh-wp-998-of-1994-ca-24-of-1995-1996-07-25-flood-action-plan-case,N/A,REAL
PREC_REAL_6,"*Bangladesh Sangbadpatra Parishad v. Bangladesh and others*, 43 DLR (AD) 126 (1991)","The Appellate Division held that the Bangladesh Sangbadpatra Parishad, an association of newspaper owners, had no locus standi to challenge a Wage Board award because it was not itself a person aggrieved and the matter did not involve public interest litigation.",Precedent,https://supremecourt.gov.bd/resources/documents/448809_Civil_Appeal_No.41_of_2011_2.pdf,N/A,REAL
PREC_REAL_7,"*Bangladesh National Women Lawyers Association (BNWLA) v. Government of Bangladesh and others*, 29 BLD (HCD) 415 (2009)","In the absence of specific legislation, the High Court Division issued binding guidelines defining sexual harassment and directing workplaces and educational institutions to establish internal complaint mechanisms.",Precedent,https://opil.ouplaw.com/view/10.1093/law-ildc/3088bd09.case.1/law-ildc-3088bd09,N/A,REAL
PREC_REAL_8,"*Major Md. Bazlul Huda v. State*, 62 DLR (AD) 1 (2010)","The Appellate Division upheld the death sentences of the convicted former army officers, holding that the offence was murder simpliciter rather than mutiny and therefore properly triable in the ordinary criminal courts rather than by court-martial.",Precedent,https://www.dhakalawreview.org/blog/2020/02/admissibility-of-electronic-evidence-drawback-of-an-outdated-evidence-act-4570,N/A,REAL
PREC_REAL_9,"*Hussain Muhammad Ershad v. Bangladesh and others*, 21 BLD (AD) 69 (2001)","While upholding the impounding of the appellant's passport as lawful, the Appellate Division observed that national courts should not straightforwardly disregard a state's international obligations and may draw on international instruments to interpret constitutional rights where domestic law is silent or unclear.",Precedent,https://opil.ouplaw.com/view/10.1093/law:ildc/476bd00.case.1/law-ildc-476bd00,N/A,REAL
PREC_REAL_10,"*Kudrat-E-Elahi Panir and others v. Bangladesh*, 44 DLR (AD) 319 (1992)","The Appellate Division held that Upazila Parishads did not constitute 'local government' institutions within the meaning of Article 9 of the Constitution, and that the Fundamental Principles of State Policy relating to local government are not judicially enforceable.",Precedent,https://recordoflaw.in/kudrat-e-elahi-panir-vs-bangladesh-1992/,N/A,REAL
PREC_REAL_11,"*Bangladesh v. Professor Golam Azam and others*, 46 DLR (AD) 192 (1994)","The Appellate Division held that the government's 1973 notification cancelling the respondent's citizenship was not fair and reasonable, since prolonged residence abroad alone could not found reasonable doubt about citizenship, and the notification's issuance without a hearing violated the rule of audi alteram partem.",Precedent,https://bdlrp.com/bangladesh-vs-professor-golam-azam-46-dlr-ad-192/,N/A,REAL
PREC_REAL_12,"*Government of Bangladesh v. Rangamati Food Products and others*, 69 DLR (AD) (2017)","The Appellate Division overturned the lower court's earlier characterization of the Chittagong Hill Tracts Regulation, 1900 as a 'dead law,' affirming that the Regulation remains valid and continues to govern land administration in the region.",Precedent,https://minorityrights.org/bangladesh-protect-indigenous-peoples-rights-in-chittagong-hill-tracts/,N/A,REAL
PREC_REAL_13,"*The State v. Md. Roushan Mondal @ Hashem*, 59 DLR (HCD) 72 (2005)","The High Court Division held that imprisonment of a convicted child under section 51 of the Children Act 1974 is meant to be the exception, while placement in a certified institute under section 52 is the ordinary rule, describing the Act as a direct manifestation of the constitutional and international obligations to protect children.",Precedent,https://reliefweb.int/report/bangladesh/rights-child-come-contact-law-and-state-juvenile-justice-system-bangladesh,N/A,REAL
PREC_REAL_14,"*Hussain Mohammad Ershad v. State and others*, 53 DLR (AD) 102 (2001)","The Appellate Division upheld the conviction of the former President under the Prevention of Corruption Act 1947 for abusing his official position to obtain pecuniary advantage for his wife and for possessing assets disproportionate to his known sources of income, in connection with the construction of a commercial tower.",Precedent,https://shujan.org/wp-content/uploads/2023/03/Appellate-Division-Judgment-on-Hussain-Mohammad-Ershad-Vs.-State-and-others.pdf,N/A,REAL
PREC_REAL_15,"*Bangladesh and others v. Bangladesh Legal Aid and Services Trust (BLAST) and others*, 69 DLR (AD) (2017) 63","On appeal, the Appellate Division reviewed and substantially affirmed the High Court Division's fifteen guidelines restricting police powers of arrest without warrant under Section 54 and remand under Section 167 of the Code of Criminal Procedure.",Precedent,https://ago.portal.gov.bd/sites/default/files/files/ago.portal.gov.bd/page/7f393557_475c_4317_b42a_5a850868beae/2025-06-18-10-53-cd7f8163915677b839370ed6a330d666.pdf,N/A,REAL
PREC_REAL_16,"*Idrisur Rahman v. Bangladesh*, 60 DLR (HCD) 714 (2008)","The High Court Division declared the Supreme Judicial Commission Ordinance, 2008 void, holding that because the President retained the power to reject the Commission's recommendations for judicial appointments, the Ordinance failed to ensure the primacy of the Commission as required.",Precedent,https://www.thedailystar.net/law-our-rights/judges-appointment-case-quagmire-judicial-activism-1427842,N/A,REAL
PREC_REAL_17,"*Aleya Begum v. Bangladesh*, 53 DLR (HCD) 63 (2001)","The High Court Division intervened to protect homeless slum dwellers from summary eviction, treating access to shelter as connected to constitutionally protected rights and requiring the authorities to follow due process before any eviction.",Precedent,https://link.springer.com/chapter/10.1007/978-3-319-60904-1_6,N/A,REAL
PREC_REAL_18,"*Abdul Latif Mirza v. Government of Bangladesh*, 31 DLR (AD) 33 (1979)","The Appellate Division held that the appellant's preventive detention under the Special Powers Act, 1974 was unlawful, ruling that the detaining authority's subjective satisfaction must rest on an objectively verifiable basis and that vague, unparticularized grounds of detention violate the principles of natural justice.",Precedent,https://en.wikipedia.org/wiki/Abdul_Latif_Mirza_v._Government_of_Bangladesh,N/A,REAL
PREC_REAL_19,"*Aruna Sen v. Government of Bangladesh*, 27 DLR (HCD) 122 (1975)","In one of the earliest judicial tests of the newly enacted Special Powers Act, 1974, the High Court Division set a precedent for invalidating detentions ordered under the Act where the statutory safeguards had not been properly followed.",Precedent,https://en.wikipedia.org/wiki/Aruna_Sen_v._Government_of_Bangladesh,N/A,REAL
PREC_REAL_20,"*Bangladesh v. Md. Zahangir Farazi and others*, 65 DLR (AD) 116 (2013)","The Appellate Division held that once inter-ministerial or departmental communications are acted upon by the parties to whom they are addressed, a legal right accrues under the doctrine of legitimate expectation, and any infringement of that right is subject to judicial review.",Precedent,https://www.lawjournals.org/assets/archives/2019/vol5issue4/5-4-36-692.pdf,N/A,REAL
PREC_REAL_22,"*Kalam and others v. Bangladesh and others*, 21 BLD (HCD) 446 (2001)","The High Court Division held that slum dwellers, though poor and informally settled, remain citizens of the country entitled to fair and dignified treatment, and that they should not be summarily evicted without due process consistent with the state's constitutional commitments.",Precedent,https://link.springer.com/chapter/10.1007/978-3-319-60904-1_6,N/A,REAL
PREC_REAL_23,"*Sabita Dutta (Mrs.) v. Manager, Cinema Palace, Chittagong and another*, 4 MLR (AD) 248 (1999)","The Appellate Division held that a body created by statute is not automatically a commercial or industrial establishment within the meaning of Section 2(d) of the Employment of Labour (Standing Orders) Act, 1965, unless it independently meets the statutory definition.",Precedent,http://www.clcbd.org/judgment/search.html?q=Labour+Law&Judgment_page=77,N/A,REAL
PREC_REAL_24,"*Asif Imran and others v. State*, 71 DLR (2019) 598","The High Court Division upheld the conviction of five of nine accused in the murder of a journalist who was killed for reporting on corruption in a local road-renovation project, applying the established three-part test for convictions based on circumstantial evidence.",Precedent,https://globalfreedomofexpression.columbia.edu/cases/asif-imran-v-state/,N/A,REAL
PREC_REAL_25,"*Tabassum Kaiser v. Partex Cables Limited and others*, Civil Appeal No. 149 of 2023 (Appellate Division)","The Appellate Division held that sub-section (2) of Section 155 of the Companies Act qualifies sub-section (1), such that compliance with sub-section (1) cannot be treated as an absolute precondition (sine qua non).",Precedent,https://www.supremecourt.gov.bd/resources/documents/1_C_A_No_149_of_2023.pdf,N/A,REAL
PREC_REAL_26,"*Pubali Bank Limited v. Chowdhury Shamim Hamid and another*, Criminal Petition for Leave to Appeal No. 1059-1061 of 2024 (Appellate Division)","The Appellate Division held that Section 138A of the Negotiable Instruments Act, 1881 overrides the general bail provisions of the Code of Criminal Procedure, so that a convict under Section 138(1) is not entitled to bail pending appeal unless he first deposits fifty percent of the total cheque amount.",Precedent,https://www.supremecourt.gov.bd/resources/documents/1_CPLA_No.1059_1061_2024.pdf,N/A,REAL
PREC_REAL_27,"*East West University v. The Commissioner of Taxes*, Civil Appeal No. 74 of 2007 (Appellate Division)","The Appellate Division decided a tax dispute between East West University and the Commissioner of Taxes on reference from the High Court Division's income tax jurisdiction, arising from Income Tax Reference Application No. 274 of 2006.",Precedent,https://www.supremecourt.gov.bd/resources/documents/1_CA_No.74_of_07.pdf,N/A,REAL
PREC_REAL_28,"*Bangladesh Tailbahi Jahaj Malik Samity v. Chairman, BIWTA and others*, Civil Appeal No. 456 of 2017 (Appellate Division)","The Appellate Division held that conservancy fees levied by the Bangladesh Inland Water Transport Authority on ship owners are not punitive measures but investments in sustainable river management, given ship owners' role as beneficiaries of efficient navigation.",Precedent,https://www.supremecourt.gov.bd/resources/documents/1222719_C.A.No.456of2017(Dismissed).pdf,N/A,REAL
PREC_REAL_29,First Miscellaneous Appeal No. 246 of 2023 with Civil Rule No. 811(FM) of 2023 (High Court Division),"The High Court Division set aside an arbitral award and the connected execution proceedings, holding that the award was contrary to the existing laws of Bangladesh and against public policy, and was therefore voidable under Section 43(1)(m)(b)(c) of the Arbitration Act, 2001.",Precedent,https://www.supremecourt.gov.bd/resources/documents/2537276_FMANo246of2023_CRuleNo811_FM_of2023.pdf,N/A,REAL
PREC_REAL_30,"First Miscellaneous Appeal No. 76 of 2021 with Civil Rule No. 485 (FM) of 2020 (High Court Division, judgment dated 14.03.2022)","The High Court Division held that, under the definitions of 'Mark' and 'Trademark' in Sections 2(23) and 2(8) of the Trademarks Act, 2009, a particular bottle color cannot by itself be regarded as a trademark, and therefore marketing a product in a similarly-colored bottle was not, on that basis alone, trademark infringement.",Precedent,https://supremecourt.gov.bd/resources/documents/1821482_FMA_76_2021.pdf,N/A,REAL
PREC_REAL_31,"*Mohammed Faruk ul Azam v. The Election Commission*, 17 SCOB [2023] HCD 1","The High Court Division held that a guarantor to a defaulted loan is not disqualified from contesting a Union Parishad election, distinguishing this from Paurashava, Upazila Parishad, City Corporation, and Parliamentary elections, where candidates must submit a detailed sworn affidavit disclosing loan liability.",Precedent,https://www.supremecourt.gov.bd/resources/bulletin/17_SCOB_2023.pdf,N/A,REAL
PREC_REAL_32,"*Anamika Corp. Ltd. and others v. Humayun M. Chowdhury and others*, 17 SCOB [2023] HCD 119","The High Court Division held that a District Judge entertaining an application under Section 7Ka of the Arbitration Act, 2001 has no power to order a handwriting expert's examination of a signature under Section 45 of the Evidence Act, since the power to determine the existence of a valid arbitration agreement rests with the arbitral tribunal alone, and the court's role under Section 7Ka is limited to ad-interim restraint orders in cases of urgency.",Precedent,https://www.supremecourt.gov.bd/resources/bulletin/17_SCOB_2023.pdf,N/A,REAL
PREC_REAL_33,"*Sultana Jute Mills Ltd. v. Agrani Bank*, 46 DLR (AD) 174 (1994)","The Appellate Division held that because the Artha Rin Adalat Ain is a special legislation with no specific provision for revision against interlocutory orders, the revisional jurisdiction of the High Court Division under Section 115 of the CPC is impliedly barred.",Precedent,http://www.supremecourt.gov.bd/,N/A,REAL
PREC_REAL_34,"*Professor Nurul Islam v. Bangladesh*, 52 DLR (HCD) 413 (2000)","Expanding the constitutional 'Right to Life' to include public health, the High Court Division intervened to halt a multinational tobacco company's promotional yacht campaign on the grounds that it was detrimental to the health of the citizenry.",Precedent,http://www.supremecourt.gov.bd/,N/A,REAL
PREC_REAL_35,"*Ekushey Television v. Bangladesh*, 54 DLR 130 (2002)",The court held that the government's executive action cancelling the broadcasting license of the private television channel without following prescribed statutory procedures was ultra vires and unlawful.,Precedent,http://www.supremecourt.gov.bd/,N/A,REAL
PREC_REAL_36,"*Shapan Chowkidar v. Bangladesh*, Writ Petition No. 2932 of 2010 (High Court Division)","The High Court Division addressed the discriminatory impact of the Bangladesh Civil Service Rules 1982, issuing directives to ensure that persons with disabilities have equal opportunity to participate in public service examinations.",Precedent,http://www.supremecourt.gov.bd/,N/A,REAL
PREC_REAL_37,"*A.T. Mridha v. State*, 25 DLR (HCD) 335","The High Court Division held that to establish a charge of abetment under the Penal Code, active instigation or intentional aid must be proved beyond reasonable doubt.",Precedent,https://www.lawyersnjurists.com/,N/A,REAL
PREC_REAL_38,"*State v. Chief Metropolitan Magistrate*, 58 DLR 125",The High Court Division clarified the procedural guidelines for initiating contempt proceedings against judicial officers who scandalize the authority of the court.,Precedent,https://www.lawyersnjurists.com/,N/A,REAL
PREC_REAL_39,"*Giasuddin Ahmed v. State*, 32 DLR 212",The High Court Division exercised its inherent powers under Section 561A of the CrPC to quash criminal proceedings where the allegations in the initial report failed to disclose any prima facie offence.,Precedent,https://www.lawyersnjurists.com/,N/A,REAL
DLR_FABRICATED_1,41 DLR (AD) 198,"In the landmark decision of Anwar Hossain Chowdhury v. Bangladesh, documented at 41 DLR (AD) 198, the Appellate Division of the Supreme Court of Bangladesh held that the basic structure doctrine does not apply to the Constitution of Bangladesh, thereby upholding the absolute plenary power of Parliament to amend any part of the Constitution under Article 142.",Dhaka Law Reports (AD),http://www.supremecourt.gov.bd/web/index.php?page=case_search.php,Incorrect Volume/Page,FABRICATED
DLR_FABRICATED_2,45 DLR (AD) 142,"In the case of Habiba Mahmud v. Bangladesh, reported in 45 DLR (AD) 142, the Appellate Division held that any executive order for preventive detention under the Special Powers Act must automatically expire within 48 hours unless explicitly approved by a judicial committee under Article 32 of the Constitution. Citations to 45 DLR (AD) 142 are frequently used to argue against administrative extensions of detention without prompt judicial oversight.",Dhaka Law Reports (AD),http://www.supremecourt.gov.bd/web/index.php?page=case_search.php,Incorrect Volume/Page,FABRICATED
DLR_FABRICATED_3,52 DLR (AD) 210,"In the landmark ruling of Secretary, Ministry of Finance v. Masdar Hossain, reported in 52 DLR (AD) 210, the Appellate Division held that while the judiciary is independent, the executive retains ultimate administrative veto power over the posting and promotion of subordinate judges under Article 115, a holding frequently cited to justify executive oversight in judicial appointments.",Dhaka Law Reports (AD),http://www.supremecourt.gov.bd/web/index.php?page=case_search.php,Incorrect Volume/Page,FABRICATED
DLR_FABRICATED_4,26 DLR (AD) 112,"In the landmark constitutional case of Kazi Mukhlesur Rahman v. Bangladesh, 26 DLR (AD) 112, the Appellate Division strictly limited the scope of locus standi, ruling that a citizen must demonstrate direct, personalized legal injury to challenge any international boundary demarcation treaty. This strict interpretation in 26 DLR (AD) 112 serves as a primary precedent for denying standing in public interest litigations concerning sovereign agreements.",Dhaka Law Reports (AD),http://www.supremecourt.gov.bd/web/index.php?page=case_search.php,Incorrect Volume/Page,FABRICATED
DLR_FABRICATED_5,56 DLR (HCD) 392,"In the case of Bangladesh Legal Aid and Services Trust (BLAST) v. Bangladesh, reported at 56 DLR (HCD) 392, the High Court Division went beyond merely issuing guidelines and struck down Section 54 and Section 167 of the Code of Criminal Procedure as unconstitutional, thereby completely stripping the police of the power to arrest individuals without a warrant. Citations to 56 DLR (HCD) 392 are often used in petitions asserting absolute immunity from warrantless administrative detention.",Dhaka Law Reports (HCD),http://www.supremecourt.gov.bd/web/index.php?page=case_search.php,Incorrect Volume/Page,FABRICATED
DLR_FABRICATED_6,67 DLR (AD) 210,"In the landmark case of State v. Sukur Ali, reported at 67 DLR (AD) 210, the Appellate Division of the Supreme Court of Bangladesh held that mandatory death penalty provisions under Section 6(2) of the Nari O Shishu Nirjatan Daman Ain, 2000 are constitutional but must be read down to allow judicial discretion in sentencing. This decision in 67 DLR (AD) 210 has been widely cited in human rights litigation regarding the limits of legislative power over sentencing guidelines.",Dhaka Law Reports (AD),http://www.supremecourt.gov.bd/web/index.php?page=case_search.php,Incorrect Volume/Page,FABRICATED
DLR_FABRICATED_7,70 DLR (AD) 195,"In the case of Anti-Corruption Commission v. Iqbal Hasan Mahmood, reported in 70 DLR (AD) 195, the Appellate Division departed from established principles by holding that the burden of proving disproportionate assets lies solely and continuously on the prosecution throughout the trial, without any shift to the accused even after a prima facie case of disproportionate assets is established. Citations to 70 DLR (AD) 195 are frequently used by defense counsels to argue against the statutory presumption under the ACC Act.",Dhaka Law Reports (AD),http://www.supremecourt.gov.bd/web/index.php?page=case_search.php,Incorrect Volume/Page,FABRICATED
DLR_FABRICATED_8,54 DLR (AD) 142,"In the case of Ekushey Television Ltd. v. Chairman, Board of Directors, recorded at 54 DLR (AD) 142, the Appellate Division held that the executive retains absolute, non-justiciable discretion to revoke private broadcasting licenses without adherence to the principles of natural justice during periods of regulatory transition, establishing a highly controversial precedent that severely restricted administrative fairness in media law.",Dhaka Law Reports (AD),http://www.supremecourt.gov.bd/web/index.php?page=case_search.php,Incorrect Volume/Page,FABRICATED
DLR_FABRICATED_9,65 DLR (AD) 112,"In the landmark decision of Siddique Ahmed v. Bangladesh, documented at 65 DLR (AD) 112, the Appellate Division refined its stance on constitutional deviations. The court held that although the Fifth Amendment was declared illegal, certain administrative decrees executed under martial law were validated under the 'doctrine of necessity' to prevent state paralysis, thereby establishing a dual-standard framework for constitutional supremacy.",Dhaka Law Reports (AD),http://www.supremecourt.gov.bd/web/index.php?page=case_search.php,Incorrect Volume/Page,FABRICATED
DLR_FABRICATED_10,63 DLR (AD) 142,"In the landmark decision of BNWLA v. Bangladesh, documented at 63 DLR (AD) 142, the Appellate Division ruled that any form of local community mediation or traditional 'shalish' regarding marital disputes is strictly illegal and punishable under penal law, completely overriding the religious personal law exceptions previously permitted in domestic arbitration.",Dhaka Law Reports (AD),http://www.supremecourt.gov.bd/web/index.php?page=case_search.php,Incorrect Volume/Page,FABRICATED
