task_id,label,fabrication_type,citation_id_category,reporter_bucket
TASK_137,FABRICATED,P1: Non-Existent Case,FAB_NEW,DLR
TASK_138,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_139,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_140,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_141,FABRICATED,P4: Wrong Court Level,OTHER,DLR
TASK_142,REAL,STANDARD_REAL,Precedent,DLR
TASK_143,FABRICATED,S1: Non-Existent Section,FAB_NEW,STATUTE_OR_OTHER
TASK_144,FABRICATED,P5: Cross-Jurisdictional Precedent Bleed,FAB_NEW,STATUTE_OR_OTHER
TASK_145,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_146,REAL,STANDARD_REAL,Precedent,STATUTE_OR_OTHER
TASK_147,FABRICATED,P2: Wrong Citation Locator,OTHER,ALR
TASK_148,REAL,STANDARD_REAL,Statute,STATUTE_OR_OTHER
TASK_149,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
TASK_150,FABRICATED,P2: Wrong Citation Locator,OTHER,BLC
